root;compressed_script;encryption;crypt_aes;crypt_blowfish;transaction_control;txc_mvlocks;txc_mvcc;txc_locks;table_type;memory_tables;cached_tables;small_cache;large_cache;logging;detailed_logging;no_write_delay;small_log;energy;performance
1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;6.6386;248.6
1;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;6.6458;249.8
1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;6.6662;250.6
1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0;1;0;6.7028;250
1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;6.6742;251.4
1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0;0;1;6.7226;251.4
1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;1;0;0;6.6576;250.2
1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;1;1;0;6.6166;250
1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;1;1;1;6.6998;251.4
1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;1;0;1;6.749;251.6
1;0;1;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;6.6902;250.2
1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;0;0;0;6.6706;250
1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;0;1;0;6.6872;249.6
1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;0;1;1;6.6996;251.2
1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;0;0;1;6.7306;251.2
1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;1;0;0;6.6764;250
1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;1;1;0;6.6312;250
1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;1;1;1;6.7456;251.4
1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;1;0;1;6.7104;251.4
1;0;1;1;0;1;0;1;0;1;1;0;0;0;0;0;1;0;6.652;249.6
1;0;1;1;0;1;0;1;0;1;1;0;0;0;0;0;1;1;6.7294;251.4
1;0;1;1;0;1;0;1;0;1;1;0;0;0;0;0;0;1;6.7208;251.2
1;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;6.6674;249.8
1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;6.6332;249.4
1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;1;0;6.6766;249.6
1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;1;1;6.6918;251.4
1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;0;1;6.7098;251
1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;1;0;0;6.651;249.6
1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;1;1;0;6.6392;249.4
1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;1;1;1;6.7428;251.4
1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;1;0;1;6.7088;251.4
1;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;1;0;6.6628;249.4
1;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;1;1;6.7286;251.2
1;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;6.7186;251.2
1;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;1;0;6.6504;250
1;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;1;1;6.7418;251
1;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;6.708;251.4
1;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;9.7376;320.6
1;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;8.7084;321.2
1;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;1;0;8.9072;321.2
1;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;1;1;8.795;322
1;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;1;9.8146;321.8
1;0;1;0;1;1;0;0;1;1;1;0;0;0;1;1;0;0;8.6934;320.8
1;0;1;0;1;1;0;0;1;1;1;0;0;0;1;1;1;0;8.8766;320.8
1;0;1;0;1;1;0;0;1;1;1;0;0;0;1;1;1;1;8.836;322.2
1;0;1;0;1;1;0;0;1;1;1;0;0;0;1;1;0;1;9.785;322.4
1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;8.7994;320.4
1;0;1;0;1;1;0;1;0;1;1;0;0;0;1;0;0;0;8.8484;320.8
1;0;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;0;9.1014;321.2
1;0;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;1;9.8;321.8
1;0;1;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;9.1618;321.8
1;0;1;0;1;1;0;1;0;1;1;0;0;0;1;1;0;0;8.8638;320.2
1;0;1;0;1;1;0;1;0;1;1;0;0;0;1;1;1;0;9.1286;320.6
1;0;1;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;9.1458;321.8
1;0;1;0;1;1;0;1;0;1;1;0;0;0;1;1;0;1;9.7276;321.4
1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;9.764;320.4
1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;8.856;321.6
1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;1;8.7108;321.8
1;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;8.7026;320.2
1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;8.708;320.2
1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;1;0;8.8804;320
1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;1;1;8.8088;321.8
1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;0;1;9.7812;322
1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;1;0;0;8.6818;320
1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;1;1;0;9.7584;320.2
1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;8.832;322
1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;1;0;1;6.653;248.4
1;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;8.8826;320.4
1;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1;1;8.843;321.8
1;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;9.8466;322
1;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;8.7934;321
1;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1;6.67;249.2
1;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;1;8.9362;322.4
1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;7.0884;262.6
1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;7.1218;262.4
1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;7.0936;262.2
1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;7.1018;261.8
1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;7.1834;264
1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;1;7.1602;264
1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;7.1122;262.4
1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;1;0;7.0908;262.4
1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;1;1;7.4208;264
1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;7.1306;264
1;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;7.1386;262.6
1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;7.1516;262.8
1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;7.1376;262.8
1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;7.178;264
1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;7.1478;264.2
1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;7.1302;262.6
1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;1;0;7.1338;262.4
1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;1;1;7.1446;264
1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;7.158;263.8
1;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;7.114;262.6
1;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;7.1488;264.4
1;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;1;7.159;264.2
1;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;7.114;262.6
1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;7.186;263
1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;1;0;7.1508;262.6
1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;1;1;7.1716;264
1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;1;7.476;264
1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;0;7.1768;262.6
1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;7.1522;262.6
1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;1;7.194;264
1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;7.1846;264.2
1;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;1;0;7.1528;263
1;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;1;1;7.4602;263.8
1;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;7.4304;264
1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;1;0;7.151;262
1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;1;1;7.1618;264
1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;7.111;263.6
1;0;1;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;13.5528;477.4
1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;13.6274;478.8
1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;13.5848;478.4
1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;14.2742;479
1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;0;1;14.2846;478.8
1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;13.5836;478.4
1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;13.5766;477.8
1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;1;1;14.304;479
1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;14.28;479.4
1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;15.254;510.4
1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;14.5582;511
1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;14.601;511.4
1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;15.342;511.2
1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;15.286;511
1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;14.563;511
1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1;0;14.577;511
1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;15.2954;511.6
1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;15.3022;510.8
1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;1;0;14.5612;510.6
1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;15.3294;511.4
1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;1;14.5658;511.6
1;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;14.7006;511.8
1;0;1;0;1;1;1;0;0;1;0;1;0;0;1;0;0;0;14.583;511.6
1;0;1;0;1;1;1;0;0;1;0;1;0;0;1;0;1;0;14.5428;510.2
1;0;1;0;1;1;1;0;0;1;0;1;0;0;1;0;1;1;15.315;511.4
1;0;1;0;1;1;1;0;0;1;0;1;0;0;1;0;0;1;15.3178;511.2
1;0;1;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;14.5602;510.4
1;0;1;0;1;1;1;0;0;1;0;1;0;0;1;1;1;0;14.5476;510.6
1;0;1;0;1;1;1;0;0;1;0;1;0;0;1;1;1;1;15.362;511.4
1;0;1;0;1;1;1;0;0;1;0;1;0;0;1;1;0;1;15.339;511.4
1;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;14.5808;511.2
1;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;15.3504;511.2
1;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;14.5652;510.8
1;0;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;13.5748;478.4
1;0;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;1;14.2922;478.8
1;0;1;0;1;1;0;0;1;1;0;1;0;0;0;0;0;1;13.7548;479.8
1;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;7.3532;262.2
1;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;7.0972;262.4
1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;7.0716;262.6
1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;7.1094;262.8
1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;7.4422;264
1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;1;7.4068;263.4
1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;7.1338;262.8
1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;1;1;0;7.1494;262.4
1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;1;1;1;7.4936;263.6
1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;7.4654;263.8
1;1;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;7.4552;262.4
1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;7.4502;262.8
1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;7.4012;262.2
1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;7.4806;264
1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;7.484;264.2
1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;7.4324;262.2
1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;1;0;7.4542;262.6
1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;1;1;7.5052;264
1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;7.492;264
1;1;1;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;7.4778;262
1;1;1;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;7.515;263.8
1;1;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;1;7.48;263.6
1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;7.1528;263
1;1;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;7.129;263.2
1;1;1;1;0;1;1;0;0;1;0;1;0;0;1;0;1;0;7.1782;262.6
1;1;1;1;0;1;1;0;0;1;0;1;0;0;1;0;1;1;7.5114;264
1;1;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;1;7.5026;264
1;1;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;0;7.124;263
1;1;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;7.1228;263
1;1;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;1;7.4858;263.4
1;1;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;7.5284;264.2
1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;1;0;7.1358;262.6
1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;1;1;7.5106;263.6
1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;7.4836;264
1;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;1;0;7.1458;262.2
1;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;1;1;7.4594;263.8
1;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;7.4646;264
1;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;14.262;477.4
1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;14.2926;476.8
1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;13.8838;477.8
1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;14.5936;480.4
1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;0;0;1;14.2924;478.4
1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;14.3356;477.4
1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;13.9186;478.6
1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;1;1;14.589;480.4
1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;14.2684;478.6
1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;15.2852;510.6
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;14.747;512
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;14.8168;510
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;14.7788;511.8
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;14.9652;511
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;14.8496;510.2
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1;0;14.7948;511.4
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;14.984;511.2
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;14.9566;510.6
1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;1;0;14.9046;511.2
1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;14.9012;511.2
1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;1;15.3886;512.8
1;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;15.3244;509.8
1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;0;0;0;15.393;510
1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;0;1;0;14.8734;510.8
1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;0;1;1;15.7306;512.8
1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;0;0;1;15.3334;510.4
1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;15.3466;509.8
1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;1;1;0;15.348;512.4
1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;1;1;1;15.368;512.4
1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;1;0;1;15.3746;510.4
1;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;14.8656;510.4
1;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;15.698;513
1;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;15.3514;510.8
1;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;13.846;477.8
1;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;1;14.5986;480.6
1;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;0;1;14.2686;478.6
1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;7.0768;262
1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;0;7.1036;262.2
1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;1;7.4522;264
1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;7.409;263.4
1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;7.0582;262.4
1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;1;1;0;7.319;262
1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;1;1;1;7.1056;263.4
1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;1;0;1;7.4022;263.6
1;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;7.0594;262.2
1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;7.0498;262.4
1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;0;7.0702;262.4
1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;1;7.3828;263.4
1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;7.3726;263
1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;7.0354;262.4
1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;1;1;0;7.0422;262.4
1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;1;1;1;7.4022;263.4
1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;1;7.3944;263.6
1;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;7.0582;262.4
1;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1;7.0892;263.4
1;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;7.0646;263.6
1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;7.3478;261.8
1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;7.0882;262.4
1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;7.0472;262.2
1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;1;7.1222;263.4
1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;1;7.1162;263.4
1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;7.068;262
1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;1;1;0;7.064;261.8
1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;7.1042;263.8
1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;1;7.069;263
1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;7.0722;262.2
1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;7.1048;263.6
1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;7.1302;263.2
1;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;7.4064;262.2
1;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;1;7.0978;263.8
1;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;7.12;263.8
1;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;7.1026;262.4
1;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;0;7.0746;262.4
1;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;1;7.3976;263.4
1;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;7.4364;263.6
1;0;0;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;7.0476;262.2
1;0;0;0;0;1;0;0;1;1;0;1;0;0;1;1;1;0;7.4576;264.8
1;0;0;0;0;1;0;0;1;1;0;1;0;0;1;1;1;1;7.4574;263.6
1;0;0;0;0;1;0;0;1;1;0;1;0;0;1;1;0;1;7.4454;264
1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;7.3112;262.4
1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;7.175;264.6
1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;0;7.0498;262.2
1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;1;7.1016;263.6
1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;7.1494;263.2
1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;6.6764;248.8
1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;1;0;7.0924;262.2
1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;1;1;7.115;263.2
1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;1;7.093;263.2
1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;7.0952;262
1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1;7.202;265.6
1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;7.0684;263.8
1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;7.4644;264.8
1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;7.189;264.6
1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;7.4542;264.8
1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;1;7.4652;266
1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;1;7.5394;266
1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;7.0644;262.2
1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;1;0;7.1382;264.2
1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;7.0978;263.2
1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;1;7.2308;265.8
1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;7.4688;264.4
