root;WindowSize;CompressionLevel;performance;energy;revision
1;10;0;1.662000;83.800000;0.3.0
1;11;0;1.526000;136.200000;0.3.0
1;12;0;1.528000;132.600000;0.3.0
1;13;0;1.514000;142.600000;0.3.0
1;14;0;1.472000;149.200000;0.3.0
1;15;0;1.534000;147.800000;0.3.0
1;16;0;1.590000;162.400000;0.3.0
1;17;0;1.606000;152.000000;0.3.0
1;18;0;1.628000;139.800000;0.3.0
1;19;0;1.614000;153.400000;0.3.0
1;20;0;1.630000;131.200000;0.3.0
1;21;0;1.604000;142.800000;0.3.0
1;22;0;1.596000;151.200000;0.3.0
1;23;0;1.556000;132.800000;0.3.0
1;24;0;1.574000;143.000000;0.3.0
1;10;1;1.666000;149.800000;0.3.0
1;11;1;1.526000;154.600000;0.3.0
1;12;1;1.542000;142.600000;0.3.0
1;13;1;1.514000;139.000000;0.3.0
1;14;1;1.460000;150.000000;0.3.0
1;15;1;1.520000;148.600000;0.3.0
1;16;1;1.598000;136.800000;0.3.0
1;17;1;1.612000;152.200000;0.3.0
1;18;1;1.630000;139.000000;0.3.0
1;19;1;1.604000;151.400000;0.3.0
1;20;1;1.636000;162.000000;0.3.0
1;21;1;1.598000;140.200000;0.3.0
1;22;1;1.586000;162.600000;0.3.0
1;23;1;1.572000;148.400000;0.3.0
1;24;1;1.570000;136.600000;0.3.0
1;10;2;2.146000;188.600000;0.3.0
1;11;2;1.998000;183.200000;0.3.0
1;12;2;1.988000;131.600000;0.3.0
1;13;2;1.942000;149.800000;0.3.0
1;14;2;1.900000;165.600000;0.3.0
1;15;2;1.972000;154.000000;0.3.0
1;16;2;2.026000;184.800000;0.3.0
1;17;2;2.102000;199.600000;0.3.0
1;18;2;2.094000;186.200000;0.3.0
1;19;2;2.100000;190.200000;0.3.0
1;20;2;2.088000;176.400000;0.3.0
1;21;2;2.060000;197.600000;0.3.0
1;22;2;2.050000;205.400000;0.3.0
1;23;2;2.032000;195.200000;0.3.0
1;24;2;2.040000;168.000000;0.3.0
1;10;3;2.616000;217.400000;0.3.0
1;11;3;2.476000;188.600000;0.3.0
1;12;3;2.426000;189.400000;0.3.0
1;13;3;2.370000;191.600000;0.3.0
1;14;3;2.302000;173.800000;0.3.0
1;15;3;2.392000;204.200000;0.3.0
1;16;3;2.508000;171.800000;0.3.0
1;17;3;2.564000;188.200000;0.3.0
1;18;3;2.562000;174.600000;0.3.0
1;19;3;2.552000;201.600000;0.3.0
1;20;3;2.546000;163.000000;0.3.0
1;21;3;2.512000;174.200000;0.3.0
1;22;3;2.500000;201.600000;0.3.0
1;23;3;2.478000;187.600000;0.3.0
1;24;3;2.478000;164.600000;0.3.0
1;10;4;3.020000;207.400000;0.3.0
1;11;4;3.040000;210.600000;0.3.0
1;12;4;3.004000;225.600000;0.3.0
1;13;4;2.972000;231.000000;0.3.0
1;14;4;2.894000;236.800000;0.3.0
1;15;4;2.834000;203.600000;0.3.0
1;16;4;2.770000;177.400000;0.3.0
1;17;4;2.848000;205.800000;0.3.0
1;18;4;2.824000;203.400000;0.3.0
1;19;4;2.800000;199.800000;0.3.0
1;20;4;2.808000;222.400000;0.3.0
1;21;4;2.768000;187.800000;0.3.0
1;22;4;2.748000;199.400000;0.3.0
1;23;4;2.726000;194.400000;0.3.0
1;24;4;2.708000;210.400000;0.3.0
1;10;5;3.306000;252.000000;0.3.0
1;11;5;3.490000;244.200000;0.3.0
1;12;5;3.746000;240.000000;0.3.0
1;13;5;4.128000;286.200000;0.3.0
1;14;5;4.678000;293.200000;0.3.0
1;15;5;5.072000;303.600000;0.3.0
1;16;5;5.392000;337.200000;0.3.0
1;17;5;5.886000;377.800000;0.3.0
1;18;5;6.714000;368.400000;0.3.0
1;19;5;7.372000;397.000000;0.3.0
1;20;5;7.450000;432.400000;0.3.0
1;21;5;7.272000;393.400000;0.3.0
1;22;5;7.198000;375.800000;0.3.0
1;23;5;7.178000;417.800000;0.3.0
1;24;5;7.154000;403.200000;0.3.0
1;10;6;3.386000;224.200000;0.3.0
1;11;6;3.570000;251.000000;0.3.0
1;12;6;3.846000;241.600000;0.3.0
1;13;6;4.300000;275.600000;0.3.0
1;14;6;4.874000;306.800000;0.3.0
1;15;6;5.306000;309.600000;0.3.0
1;16;6;5.770000;306.600000;0.3.0
1;17;6;6.340000;377.600000;0.3.0
1;18;6;7.510000;406.000000;0.3.0
1;19;6;9.336000;489.000000;0.3.0
1;20;6;10.658000;554.000000;0.3.0
1;21;6;10.460000;525.800000;0.3.0
1;22;6;10.266000;560.200000;0.3.0
1;23;6;10.220000;534.600000;0.3.0
1;24;6;10.176000;532.200000;0.3.0
1;10;7;4.874000;299.400000;0.3.0
1;11;7;5.078000;311.600000;0.3.0
1;12;7;5.266000;310.800000;0.3.0
1;13;7;5.554000;347.600000;0.3.0
1;14;7;5.896000;353.600000;0.3.0
1;15;7;6.390000;393.600000;0.3.0
1;16;7;6.998000;385.800000;0.3.0
1;17;7;7.636000;428.200000;0.3.0
1;18;7;8.628000;473.800000;0.3.0
1;19;7;10.050000;511.000000;0.3.0
1;20;7;12.338000;633.800000;0.3.0
1;21;7;15.806000;779.800000;0.3.0
1;22;7;19.626000;922.600000;0.3.0
1;23;7;20.474000;946.200000;0.3.0
1;24;7;20.228000;956.200000;0.3.0
1;10;8;5.046000;290.800000;0.3.0
1;11;8;5.042000;302.800000;0.3.0
1;12;8;5.318000;306.600000;0.3.0
1;13;8;5.620000;355.000000;0.3.0
1;14;8;6.086000;343.200000;0.3.0
1;15;8;6.738000;367.600000;0.3.0
1;16;8;7.548000;434.400000;0.3.0
1;17;8;8.454000;457.600000;0.3.0
1;18;8;9.684000;508.200000;0.3.0
1;19;8;11.508000;575.800000;0.3.0
1;20;8;14.640000;743.800000;0.3.0
1;21;8;18.874000;880.200000;0.3.0
1;22;8;25.432000;1194.600000;0.3.0
1;23;8;37.284000;1660.000000;0.3.0
1;24;8;38.644000;1715.200000;0.3.0
1;10;9;6.246000;338.400000;0.3.0
1;11;9;6.286000;350.000000;0.3.0
1;12;9;6.470000;374.400000;0.3.0
1;13;9;6.862000;375.600000;0.3.0
1;14;9;7.404000;400.400000;0.3.0
1;15;9;8.084000;433.800000;0.3.0
1;16;9;9.094000;495.000000;0.3.0
1;17;9;10.152000;536.200000;0.3.0
1;18;9;11.954000;590.400000;0.3.0
1;19;9;14.048000;723.600000;0.3.0
1;20;9;17.400000;815.600000;0.3.0
1;21;9;23.614000;1075.400000;0.3.0
1;22;9;34.292000;1573.200000;0.3.0
1;23;9;63.680000;2708.400000;0.3.0
1;24;9;108.602000;4489.600000;0.3.0
1;10;10;363.364000;14721.000000;0.3.0
1;11;10;343.594000;13940.400000;0.3.0
1;12;10;328.816000;13440.000000;0.3.0
1;13;10;313.652000;12666.600000;0.3.0
1;14;10;301.488000;12264.400000;0.3.0
1;15;10;291.618000;11881.200000;0.3.0
1;16;10;285.000000;11701.800000;0.3.0
1;17;10;307.144000;12623.400000;0.3.0
1;18;10;279.698000;11597.000000;0.3.0
1;19;10;258.558000;10766.400000;0.3.0
1;20;10;246.512000;10471.000000;0.3.0
1;21;10;244.734000;10273.600000;0.3.0
1;22;10;256.210000;10773.800000;0.3.0
1;23;10;318.954000;13142.000000;0.3.0
1;24;10;392.744000;16195.000000;0.3.0
1;10;11;363.346000;14694.400000;0.3.0
1;11;11;343.996000;13951.400000;0.3.0
1;12;11;328.552000;13310.400000;0.3.0
1;13;11;315.078000;12778.400000;0.3.0
1;14;11;301.078000;12310.000000;0.3.0
1;15;11;292.192000;11892.400000;0.3.0
1;16;11;284.296000;11579.800000;0.3.0
1;17;11;307.420000;12597.400000;0.3.0
1;18;11;279.692000;11671.800000;0.3.0
1;19;11;258.502000;10799.200000;0.3.0
1;20;11;246.080000;10327.000000;0.3.0
1;21;11;244.720000;10301.200000;0.3.0
1;22;11;259.594000;10838.200000;0.3.0
1;23;11;315.238000;13019.400000;0.3.0
1;24;11;394.158000;16073.000000;0.3.0
1;10;0;3.102000;202.800000;0.4.0
1;11;0;2.044000;183.400000;0.4.0
1;12;0;1.422000;131.200000;0.4.0
1;13;0;1.096000;146.600000;0.4.0
1;14;0;0.958000;79.600000;0.4.0
1;15;0;0.802000;78.000000;0.4.0
1;16;0;0.782000;79.600000;0.4.0
1;17;0;0.772000;79.200000;0.4.0
1;18;0;0.776000;78.800000;0.4.0
1;19;0;0.780000;78.800000;0.4.0
1;20;0;0.794000;136.000000;0.4.0
1;21;0;0.802000;132.200000;0.4.0
1;22;0;0.802000;144.400000;0.4.0
1;23;0;0.796000;139.600000;0.4.0
1;24;0;0.790000;107.000000;0.4.0
1;10;1;2.552000;179.000000;0.4.0
1;11;1;1.740000;124.200000;0.4.0
1;12;1;1.284000;101.200000;0.4.0
1;13;1;1.016000;71.200000;0.4.0
1;14;1;0.908000;98.400000;0.4.0
1;15;1;0.858000;113.000000;0.4.0
1;16;1;0.906000;106.400000;0.4.0
1;17;1;0.960000;93.600000;0.4.0
1;18;1;1.000000;110.000000;0.4.0
1;19;1;1.040000;101.200000;0.4.0
1;20;1;1.058000;110.800000;0.4.0
1;21;1;1.072000;86.000000;0.4.0
1;22;1;1.106000;136.000000;0.4.0
1;23;1;1.116000;112.200000;0.4.0
1;24;1;1.106000;90.400000;0.4.0
1;10;2;1.524000;49.400000;0.4.0
1;11;2;1.546000;81.600000;0.4.0
1;12;2;1.548000;124.400000;0.4.0
1;13;2;1.534000;121.800000;0.4.0
1;14;2;1.514000;117.200000;0.4.0
1;15;2;1.556000;100.400000;0.4.0
1;16;2;1.510000;132.800000;0.4.0
1;17;2;1.544000;122.800000;0.4.0
1;18;2;1.548000;131.600000;0.4.0
1;19;2;1.548000;107.000000;0.4.0
1;20;2;1.560000;148.200000;0.4.0
1;21;2;1.538000;143.400000;0.4.0
1;22;2;1.528000;81.400000;0.4.0
1;23;2;1.502000;111.400000;0.4.0
1;24;2;1.514000;63.000000;0.4.0
1;10;3;2.098000;90.400000;0.4.0
1;11;3;2.142000;87.600000;0.4.0
1;12;3;2.140000;104.400000;0.4.0
1;13;3;2.104000;113.600000;0.4.0
1;14;3;2.036000;118.000000;0.4.0
1;15;3;2.124000;116.400000;0.4.0
1;16;3;2.020000;91.800000;0.4.0
1;17;3;2.082000;136.200000;0.4.0
1;18;3;2.088000;156.400000;0.4.0
1;19;3;2.084000;123.200000;0.4.0
1;20;3;2.100000;163.400000;0.4.0
1;21;3;2.044000;147.200000;0.4.0
1;22;3;2.032000;149.400000;0.4.0
1;23;3;2.024000;138.400000;0.4.0
1;24;3;2.024000;121.800000;0.4.0
1;10;4;3.038000;159.000000;0.4.0
1;11;4;3.072000;125.400000;0.4.0
1;12;4;3.044000;139.200000;0.4.0
1;13;4;2.996000;166.800000;0.4.0
1;14;4;2.934000;151.600000;0.4.0
1;15;4;2.858000;126.200000;0.4.0
1;16;4;2.812000;118.400000;0.4.0
1;17;4;2.822000;123.600000;0.4.0
1;18;4;2.810000;182.400000;0.4.0
1;19;4;2.804000;188.000000;0.4.0
1;20;4;2.786000;189.800000;0.4.0
1;21;4;2.714000;147.800000;0.4.0
1;22;4;2.680000;163.600000;0.4.0
1;23;4;2.690000;194.800000;0.4.0
1;24;4;2.676000;188.600000;0.4.0
1;10;5;3.476000;228.200000;0.4.0
1;11;5;3.678000;231.200000;0.4.0
1;12;5;3.896000;208.600000;0.4.0
1;13;5;4.280000;194.200000;0.4.0
1;14;5;4.814000;204.400000;0.4.0
1;15;5;5.132000;240.800000;0.4.0
1;16;5;5.516000;260.000000;0.4.0
1;17;5;5.870000;281.600000;0.4.0
1;18;5;6.722000;303.800000;0.4.0
1;19;5;7.380000;368.600000;0.4.0
1;20;5;7.408000;365.200000;0.4.0
1;21;5;7.254000;374.000000;0.4.0
1;22;5;7.186000;329.200000;0.4.0
1;23;5;7.158000;376.000000;0.4.0
1;24;5;7.142000;374.000000;0.4.0
1;10;6;3.528000;203.200000;0.4.0
1;11;6;3.736000;224.400000;0.4.0
1;12;6;3.994000;225.600000;0.4.0
1;13;6;4.412000;238.600000;0.4.0
1;14;6;5.010000;249.600000;0.4.0
1;15;6;5.412000;249.000000;0.4.0
1;16;6;5.840000;270.400000;0.4.0
1;17;6;6.340000;300.400000;0.4.0
1;18;6;7.454000;339.200000;0.4.0
1;19;6;9.158000;449.000000;0.4.0
1;20;6;10.416000;483.200000;0.4.0
1;21;6;10.300000;480.600000;0.4.0
1;22;6;10.158000;447.800000;0.4.0
1;23;6;10.090000;464.000000;0.4.0
1;24;6;10.052000;441.800000;0.4.0
1;10;7;5.088000;273.000000;0.4.0
1;11;7;5.228000;270.600000;0.4.0
1;12;7;5.352000;266.000000;0.4.0
1;13;7;5.650000;306.400000;0.4.0
1;14;7;5.940000;268.600000;0.4.0
1;15;7;6.412000;293.800000;0.4.0
1;16;7;6.952000;345.800000;0.4.0
1;17;7;7.462000;317.000000;0.4.0
1;18;7;8.378000;342.600000;0.4.0
1;19;7;9.824000;449.200000;0.4.0
1;20;7;12.164000;543.200000;0.4.0
1;21;7;15.554000;720.600000;0.4.0
1;22;7;19.350000;858.600000;0.4.0
1;23;7;20.356000;900.800000;0.4.0
1;24;7;20.068000;902.000000;0.4.0
1;10;8;5.044000;264.200000;0.4.0
1;11;8;5.200000;290.400000;0.4.0
1;12;8;5.426000;257.400000;0.4.0
1;13;8;5.718000;247.800000;0.4.0
1;14;8;6.154000;254.400000;0.4.0
1;15;8;6.734000;276.200000;0.4.0
1;16;8;7.512000;346.400000;0.4.0
1;17;8;8.260000;341.600000;0.4.0
1;18;8;9.472000;446.800000;0.4.0
1;19;8;11.370000;518.000000;0.4.0
1;20;8;14.150000;651.000000;0.4.0
1;21;8;18.496000;807.400000;0.4.0
1;22;8;24.882000;1090.200000;0.4.0
1;23;8;37.480000;1654.000000;0.4.0
1;24;8;37.966000;1601.600000;0.4.0
1;10;9;6.358000;277.000000;0.4.0
1;11;9;6.364000;286.200000;0.4.0
1;12;9;6.516000;312.400000;0.4.0
1;13;9;6.888000;341.600000;0.4.0
1;14;9;7.342000;349.000000;0.4.0
1;15;9;8.090000;406.600000;0.4.0
1;16;9;8.976000;463.000000;0.4.0
1;17;9;10.160000;465.000000;0.4.0
1;18;9;11.792000;532.000000;0.4.0
1;19;9;14.022000;673.200000;0.4.0
1;20;9;17.562000;782.800000;0.4.0
1;21;9;23.270000;1020.200000;0.4.0
1;22;9;30.516000;1307.000000;0.4.0
1;23;9;61.204000;2470.000000;0.4.0
1;24;9;109.186000;4378.200000;0.4.0
1;10;10;274.288000;11046.400000;0.4.0
1;11;10;257.572000;10344.200000;0.4.0
1;12;10;240.250000;9642.400000;0.4.0
1;13;10;230.024000;9321.200000;0.4.0
1;14;10;217.782000;8773.800000;0.4.0
1;15;10;208.000000;8429.400000;0.4.0
1;16;10;198.980000;8061.200000;0.4.0
1;17;10;235.184000;9515.800000;0.4.0
1;18;10;257.368000;10386.200000;0.4.0
1;19;10;227.756000;9332.400000;0.4.0
1;20;10;216.338000;8762.000000;0.4.0
1;21;10;202.982000;8201.200000;0.4.0
1;22;10;201.688000;8132.200000;0.4.0
1;23;10;202.458000;8259.200000;0.4.0
1;24;10;212.040000;8510.800000;0.4.0
1;10;11;305.570000;12271.800000;0.4.0
1;11;11;288.496000;11918.600000;0.4.0
1;12;11;273.476000;11110.200000;0.4.0
1;13;11;260.348000;10465.000000;0.4.0
1;14;11;251.106000;10165.400000;0.4.0
1;15;11;241.422000;9863.200000;0.4.0
1;16;11;234.052000;9460.200000;0.4.0
1;17;11;267.006000;10739.600000;0.4.0
1;18;11;289.410000;11796.200000;0.4.0
1;19;11;262.980000;10714.800000;0.4.0
1;20;11;245.696000;9973.200000;0.4.0
1;21;11;239.574000;9757.400000;0.4.0
1;22;11;242.290000;9879.400000;0.4.0
1;23;11;247.654000;10005.600000;0.4.0
1;24;11;257.702000;10414.000000;0.4.0
1;10;0;2.924000;203.200000;0.5.2
1;11;0;1.908000;136.200000;0.5.2
1;12;0;1.350000;139.000000;0.5.2
1;13;0;1.054000;114.000000;0.5.2
1;14;0;0.926000;93.600000;0.5.2
1;15;0;0.776000;93.200000;0.5.2
1;16;0;0.772000;94.800000;0.5.2
1;17;0;0.764000;101.400000;0.5.2
1;18;0;0.780000;73.200000;0.5.2
1;19;0;0.768000;97.800000;0.5.2
1;20;0;0.758000;79.200000;0.5.2
1;21;0;0.754000;110.200000;0.5.2
1;22;0;0.780000;98.400000;0.5.2
1;23;0;0.780000;75.600000;0.5.2
1;24;0;0.754000;111.800000;0.5.2
1;10;1;2.378000;162.600000;0.5.2
1;11;1;1.636000;127.000000;0.5.2
1;12;1;1.218000;138.000000;0.5.2
1;13;1;0.974000;88.600000;0.5.2
1;14;1;0.880000;90.400000;0.5.2
1;15;1;0.862000;113.000000;0.5.2
1;16;1;0.884000;82.200000;0.5.2
1;17;1;0.856000;97.200000;0.5.2
1;18;1;0.860000;81.800000;0.5.2
1;19;1;0.896000;86.600000;0.5.2
1;20;1;0.878000;94.000000;0.5.2
1;21;1;0.862000;90.200000;0.5.2
1;22;1;0.896000;98.000000;0.5.2
1;23;1;0.896000;90.200000;0.5.2
1;24;1;0.880000;83.200000;0.5.2
1;10;2;1.488000;160.000000;0.5.2
1;11;2;1.518000;158.200000;0.5.2
1;12;2;1.516000;128.400000;0.5.2
1;13;2;1.496000;150.400000;0.5.2
1;14;2;1.478000;147.800000;0.5.2
1;15;2;1.530000;147.200000;0.5.2
1;16;2;1.490000;138.600000;0.5.2
1;17;2;1.504000;125.200000;0.5.2
1;18;2;1.526000;149.600000;0.5.2
1;19;2;1.506000;147.000000;0.5.2
1;20;2;1.514000;137.600000;0.5.2
1;21;2;1.498000;140.200000;0.5.2
1;22;2;1.492000;152.000000;0.5.2
1;23;2;1.494000;157.400000;0.5.2
1;24;2;1.496000;148.200000;0.5.2
1;10;3;1.998000;173.800000;0.5.2
1;11;3;2.026000;170.800000;0.5.2
1;12;3;2.018000;202.600000;0.5.2
1;13;3;1.982000;164.400000;0.5.2
1;14;3;1.948000;179.200000;0.5.2
1;15;3;2.020000;177.000000;0.5.2
1;16;3;1.950000;179.800000;0.5.2
1;17;3;2.010000;205.400000;0.5.2
1;18;3;2.004000;191.600000;0.5.2
1;19;3;2.008000;204.200000;0.5.2
1;20;3;2.008000;208.000000;0.5.2
1;21;3;1.986000;159.600000;0.5.2
1;22;3;1.958000;152.200000;0.5.2
1;23;3;1.958000;157.200000;0.5.2
1;24;3;1.958000;173.000000;0.5.2
1;10;4;3.032000;255.600000;0.5.2
1;11;4;3.044000;244.800000;0.5.2
1;12;4;3.014000;209.400000;0.5.2
1;13;4;2.964000;236.600000;0.5.2
1;14;4;2.890000;209.200000;0.5.2
1;15;4;2.824000;216.200000;0.5.2
1;16;4;2.746000;184.800000;0.5.2
1;17;4;2.752000;206.200000;0.5.2
1;18;4;2.730000;208.800000;0.5.2
1;19;4;2.704000;211.400000;0.5.2
1;20;4;2.682000;180.600000;0.5.2
1;21;4;2.636000;164.000000;0.5.2
1;22;4;2.584000;200.400000;0.5.2
1;23;4;2.606000;178.800000;0.5.2
1;24;4;2.616000;205.400000;0.5.2
1;10;5;2.986000;225.600000;0.5.2
1;11;5;3.118000;216.600000;0.5.2
1;12;5;3.258000;219.400000;0.5.2
1;13;5;3.464000;203.200000;0.5.2
1;14;5;3.816000;234.400000;0.5.2
1;15;5;4.390000;262.600000;0.5.2
1;16;5;5.266000;298.600000;0.5.2
1;17;5;5.694000;318.600000;0.5.2
1;18;5;6.466000;375.200000;0.5.2
1;19;5;7.094000;399.200000;0.5.2
1;20;5;7.138000;410.200000;0.5.2
1;21;5;7.036000;384.800000;0.5.2
1;22;5;6.988000;390.600000;0.5.2
1;23;5;6.944000;388.400000;0.5.2
1;24;5;6.902000;379.000000;0.5.2
1;10;6;3.042000;217.400000;0.5.2
1;11;6;3.154000;232.600000;0.5.2
1;12;6;3.364000;229.200000;0.5.2
1;13;6;3.606000;243.000000;0.5.2
1;14;6;4.040000;242.800000;0.5.2
1;15;6;4.802000;299.400000;0.5.2
1;16;6;5.894000;348.600000;0.5.2
1;17;6;6.136000;381.000000;0.5.2
1;18;6;7.108000;398.800000;0.5.2
1;19;6;8.706000;440.800000;0.5.2
1;20;6;9.926000;507.600000;0.5.2
1;21;6;9.770000;493.800000;0.5.2
1;22;6;9.666000;526.200000;0.5.2
1;23;6;9.594000;510.000000;0.5.2
1;24;6;9.558000;505.800000;0.5.2
1;10;7;3.736000;274.000000;0.5.2
1;11;7;3.916000;254.000000;0.5.2
1;12;7;4.132000;247.200000;0.5.2
1;13;7;4.490000;307.200000;0.5.2
1;14;7;5.024000;317.200000;0.5.2
1;15;7;6.014000;351.600000;0.5.2
1;16;7;7.586000;406.400000;0.5.2
1;17;7;7.596000;399.200000;0.5.2
1;18;7;8.332000;460.200000;0.5.2
1;19;7;9.680000;507.800000;0.5.2
1;20;7;11.988000;613.200000;0.5.2
1;21;7;15.212000;759.000000;0.5.2
1;22;7;18.810000;901.000000;0.5.2
1;23;7;19.596000;961.400000;0.5.2
1;24;7;19.590000;939.800000;0.5.2
1;10;8;3.734000;236.800000;0.5.2
1;11;8;3.932000;245.200000;0.5.2
1;12;8;4.280000;279.200000;0.5.2
1;13;8;4.696000;308.400000;0.5.2
1;14;8;5.392000;331.600000;0.5.2
1;15;8;6.612000;362.000000;0.5.2
1;16;8;8.620000;474.200000;0.5.2
1;17;8;8.364000;460.200000;0.5.2
1;18;8;9.456000;505.800000;0.5.2
1;19;8;11.308000;583.400000;0.5.2
1;20;8;13.984000;700.800000;0.5.2
1;21;8;18.032000;869.600000;0.5.2
1;22;8;24.456000;1174.200000;0.5.2
1;23;8;35.244000;1582.600000;0.5.2
1;24;8;36.508000;1678.200000;0.5.2
1;10;9;4.786000;271.400000;0.5.2
1;11;9;4.802000;317.200000;0.5.2
1;12;9;5.112000;345.800000;0.5.2
1;13;9;5.650000;336.200000;0.5.2
1;14;9;6.332000;355.400000;0.5.2
1;15;9;7.420000;446.600000;0.5.2
1;16;9;8.860000;458.800000;0.5.2
1;17;9;9.956000;539.200000;0.5.2
1;18;9;11.354000;570.400000;0.5.2
1;19;9;13.636000;679.600000;0.5.2
1;20;9;16.630000;823.000000;0.5.2
1;21;9;22.558000;1104.400000;0.5.2
1;22;9;29.720000;1398.200000;0.5.2
1;23;9;58.178000;2524.600000;0.5.2
1;24;9;98.636000;4249.200000;0.5.2
1;10;10;128.052000;5449.800000;0.5.2
1;11;10;121.122000;5092.600000;0.5.2
1;12;10;115.114000;4861.400000;0.5.2
1;13;10;109.840000;4671.800000;0.5.2
1;14;10;106.108000;4451.800000;0.5.2
1;15;10;102.042000;4299.200000;0.5.2
1;16;10;99.666000;4205.800000;0.5.2
1;17;10;115.704000;4944.000000;0.5.2
1;18;10;109.844000;4715.400000;0.5.2
1;19;10;101.536000;4376.600000;0.5.2
1;20;10;102.592000;4393.000000;0.5.2
1;21;10;106.916000;4568.800000;0.5.2
1;22;10;115.624000;4881.400000;0.5.2
1;23;10;124.992000;5260.000000;0.5.2
1;24;10;136.858000;5744.400000;0.5.2
1;10;11;314.438000;13192.400000;0.5.2
1;11;11;299.232000;12441.400000;0.5.2
1;12;11;283.376000;11739.800000;0.5.2
1;13;11;269.508000;11097.800000;0.5.2
1;14;11;260.982000;10792.600000;0.5.2
1;15;11;252.216000;10393.800000;0.5.2
1;16;11;244.304000;10178.800000;0.5.2
1;17;11;274.674000;11373.400000;0.5.2
1;18;11;298.376000;12483.000000;0.5.2
1;19;11;272.440000;11364.000000;0.5.2
1;20;11;253.918000;10319.400000;0.5.2
1;21;11;249.168000;10188.400000;0.5.2
